id;region;price;year;manufacturer;model;condition;cylinders;fuel;odometer;transmission;drive;size;type;paint_color;state
7316905940;SF bay area;18495;2018;ford;focus electric base;;;electric;12029;automatic;fwd;;hatchback;black;ca
7316907258;savannah / hinesville;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;ga
7316913892;pittsburgh;30990;2013;tesla;model s performance sedan;good;;electric;92418;other;rwd;;sedan;;pa
7316915519;atlanta;69900;2015;tesla;model s p90d;like new;other;electric;14000;automatic;4wd;full-size;sedan;black;ga
7316919213;central NJ;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;nj
7316919353;baltimore;30990;2013;tesla;model s performance sedan;good;;electric;92418;other;rwd;;sedan;;md
7316919376;SF bay area;17995;2015;toyota;prius plug-in;good;4 cylinders;electric;65889;automatic;fwd;;hatchback;;ca
7316919387;SF bay area;17995;2015;toyota;prius plug-in;good;4 cylinders;electric;69631;automatic;fwd;;hatchback;;ca
7316924797;saginaw-midland-baycity;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;mi
7316924876;columbus;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;ga
7316925077;hudson valley;29990;2013;tesla;model s sedan 4d;good;;electric;59613;other;rwd;;sedan;blue;ny
7316925178;rochester;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;ny
7316930319;atlanta;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;ga
7316930370;beaumont / port arthur;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;tx
7316930526;space coast;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;fl
7316930541;buffalo;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;ny
7316935546;hawaii;20995;2018;nissan;leaf sv hatchback 4d;excellent;other;electric;25825;automatic;fwd;;;red;hi
7316935828;south bend / michiana;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;in
7316939354;seattle-tacoma;8999;2016;kia;soul ev;;other;electric;50279;automatic;fwd;;wagon;silver;wa
7316940001;st louis  MO;9595;2013;chevrolet;volt premium;like new;4 cylinders;electric;118011;automatic;fwd;sub-compact;hatchback;grey;il
7316941330;sarasota-bradenton;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;fl
7316941340;new york city;4000;2019;chevrolet;bolt ev premier;excellent;;electric;33000;other;;compact;hatchback;white;ny
7316941369;charlotte;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;nc
7316945228;albuquerque;8600;2015;chevrolet;spark ev 2lt hatchback;like new;other;electric;22970;automatic;fwd;compact;hatchback;blue;nm
7316946843;new hampshire;30990;2013;tesla;model s performance sedan;good;;electric;92418;other;rwd;;sedan;;nh
7316951035;spokane / coeur d'alene;42900;2019;tesla;model 3 blacked out standard range plus;;other;electric;23279;automatic;rwd;;sedan;black;id
7316952167;jersey shore;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;nj
7316952392;knoxville;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;tn
